,buyer,total_estimated_backfill_revenue
0,,0.00976066493102425
1,Aarki AdX,1.2466264718735953
2,Acceleration // DBM,1.9981533011688035
3,Accordant Media,0.0087426108987371
4,Accordant Media w/ Invite Media,0.03724894547673392
5,Accuen (AE) w/DBM,0.03715773966754597
6,Accuen AT w/DBM,0.01077296724561486
7,Accuen AU w/ DBM,5.877908739451686
8,Accuen BE w/DBM,0.10000675893761195
9,Accuen Canada w/ DBM,0.005357314197346418
10,Accuen EMEA w/DBM,2.483953237905846
11,Accuen HK w/DBM,0.015789286750952265
12,Accuen IE w/ DBM,6.212903568229254
13,Accuen (IT) w/DBM,0.013922443521447501
14,Accuen NL w/Invite (Legacy),0.3788902948896289
15,Accuen NO w/ DBM,0.07182005552875129
16,Accuen OMD NZ w/ DBM,0.6638049176834437
17,Accuen PHD NZ w/ DBM,0.5006508718295025
18,Accuen (PL) w/DBM,0.0025701961363956438
19,Accuen (TR) w/DBM,0.00035249812740208793
20,Accuen UK w/Amazon,0.9050902967271514
21,Accuen UK w/ The Trade Desk,1.679955131413039
22,Accuen US w/Amazon,0.022204917004461595
23,Accuen w/ Invite Media,2.349426312701529
24,Accuen w/ The Trade Desk,0.00362193880090537
25,Accuen w/ Verizon Media DSP,0.4344740730350113
26,Active Agent,0.3734713551455338
27,Acuity Ads,0.24055984093998714
28,Acuity Ads w/ DBM,0.005948919446133139
29,Adara DBM Adx,1.6523288096426123
30,Adara Media,2.1067909233470483
31,Addictive Mobility,0.04576641771134941
32,Ad Effectiveness Surveys 2,0.7019864631009735
33,Adelement - INR,0.06357044900400312
34,Adello Group AG,0.047815672559230075
35,Adelphic Mobile,0.09032004466268603
36,Adelphic_US_Publicis,0.0008479675232609667
37,Adform,0.0021314222435454924
38,Adform Group 1,0.2725015943307302
39,Adform Group 3,1.5260087639172977
40,Adhesive- LLC,0.005225846364282703
41,Adhood TR,0.1754742251599247
42,Adikteev,0.744333073804753
43,Adizio w/ Iponweb (BS),0.10586611592247043
44,Admatic w/DBM (AU),0.8891120249661699
45,AdMaxim EMEA,0.735510760532221
46,Adobe APAC,0.18210759901194581
47,Adobe EU,0.3006028436480994
48,Adobe NA,3.3770438081701064
49,AdPilot (PL) / Cloud Technologies,0.00025307557864765286
50,AdPrime w/ Beeswax,0.0030763472936909493
51,AdReady,0.0547423840137746
52,AdRiver,0.008223312958135422
53,AdRoll.com 3,3.9279950946037436
54,AdSniper.ru,0.008505147125265764
55,Adspend,0.0008906945690066744
56,AdSwerve // DBM,3.291667775704573
57,AdTaily w/ DBM,0.19859695197396235
58,Adtegrity BPN AdX Account,0.06591304145440721
59,advanced STORE,0.008262753308054538
60,advanced STORE w/Adform,0.14823080345329617
61,advanced STORE w/ DBM,0.14753648895992844
62,Advance Media,0.20237993887037078
63,Adxcel,0.0022020862038172394
64,adXoptdcom w/ DBM,0.018213224923064524
65,Adxperience 281945923,0.0011306233643479555
66,Aegis Media Network UK w/DBM,18.36015172994862
67,Aegis Media Network w/ Invite Media,1.00257533829181
68,Aegis Media Network w/ Invite Media (AU),1.9032064104562314
69,Aegis Media Network w/ Invite Media (Europe),10.258238633886103
70,Aegis Media Network w/ Mediamath (AU),0.05522388495237046
71,Aegis Media Network w/ MediaMath (Europe),0.0037961336797147933
72,Affec.tv w/AppNexus,0.0008019537816886662
73,Affiperf BE w/DBM,0.026250839566997447
74,Affiperf CA w/ Amazon,0.01351078486916674
75,AffiPerf (EMEA) w/ DBM (EUR),0.09606601064152706
76,Affiperf NL w/ DBM,0.005183119318536995
77,Affiperf UK w/Amazon,0.0017953575952763684
78,Affiperf US – w/Amazon,0.05156825751924251
79,AffiPerf (US) w/ DBM (USD),0.11101801163065479
80,AffiPerf w/ MediaMath (USD),0.47670400603694674
81,Affle India,0.0012670212411515609
82,Agency M w/ DBM,0.6308459319343702
83,AGrant CN,0.0008537192409575043
84,AKQA US w/ Amazon,0.007145276727012953
85,AKQA w/ DBM,0.027930341134386416
86,AKQA w/ TTD,0.03421532522878868
87,Amazon APAC,0.29137626678889655
88,Amazon.com,18.462133793078014
89,Amazon EU,59.152509449225
90,Amnet Canada w/ Amazon,0.001051742664509726
91,Amnet Canada w/ Invite,0.1738966111631601
92,Amnet Canada w/ The Trade Desk,0.01671202660426822
93,Amnet Canada w/ Verizon Media DSP,0.008653048437462443
94,Amnet DE w/ DBM,0.0003574281711419773
95,Amnet DE w/ The Trade Desk,0.0006441923820122074
96,Amnet ES w/Amazon,0.01032926330902482
97,Amnet ES w/ DBM,0.0490325716890261
98,Amnet FR w/DBM,0.039771484523643964
99,Amnet HK w/ DBM,0.08107949934622012
100,Amnet India w/ DBM,0.0031100359259135265
101,Amnet India w/ MediaMath,0.0012382626526688731
102,Amnet (IT) w/DBM,0.46941657971543366
103,Amnet NL w/Amazon,0.041795267478868546
104,Amnet NL w/DBM,0.10338794726921939
105,Amnet Nordics w/DBM,0.24173729971986405
106,Amnet RU w/DBM,0.012772099982139988
107,Amnet SEA w/ DBM,0.11065072337203304
108,Amnet SEA w/ TTD,0.042355649117302635
109,AMNET (TR) w/ DBM,0.00023664209951468842
110,AMNET TW w/DBM,0.0011158332331282876
111,AMNET (UAE) w. DBM,0.08932499750118504
112,AMNET (UAE) w/ MediaMath,0.011187090919765564
113,Amnet UK w/Amazon,1.460370161564411
114,Amnet US w/Amazon,0.026403670922934018
115,Amnet w/ TTD AU,0.15592988842709005
116,Amnet w/ TTD P&G,0.5727790550919969
117,AMNET (ZA) w/DBM,1.8377288561988476
118,Amobee,0.35990305309940174
119,Amobee APAC,1.204505821507894
120,Amobee EMEA,0.22832265070362515
121,A.Mob (FR),0.002145390700808511
122,Annalect Media India Private Limited,0.4204801438793354
123,Appier PC,0.009008833260691126
124,Appier TW,0.01014438666877897
125,AppNexus,1.3158426426337284
126,Artefact H&H Group FR w/Amazon,0.015364481315365133
127,Assembly Media with DBM,0.10093935887840769
128,Assembly US w/ Amazon,0.0028421702160462063
129,Associated Newspapers w/DBM,0.22751330185632662
130,AstroMotion Games Limited,0.027384749627171998
131,Audience2Media w/DBM,1.6133716040100068
