,buyer,total_estimated_backfill_revenue,count
0,,0.00976066493102425,881003
1,Aarki AdX,1.2466264718735953,1663
2,Acceleration // DBM,1.9981533011688035,1639
3,Accordant Media,0.0087426108987371,1
4,Accordant Media w/ Invite Media,0.03724894547673392,18
5,Accuen (AE) w/DBM,0.03715773966754597,54
6,Accuen AT w/DBM,0.01077296724561486,6
7,Accuen AU w/ DBM,5.877908739451686,5574
8,Accuen BE w/DBM,0.10000675893761195,106
9,Accuen Canada w/ DBM,0.005357314197346418,1
10,Accuen EMEA w/DBM,2.483953237905846,1244
11,Accuen HK w/DBM,0.015789286750952265,23
12,Accuen IE w/ DBM,6.212903568229254,15710
13,Accuen (IT) w/DBM,0.013922443521447501,16
14,Accuen NL w/Invite (Legacy),0.3788902948896289,524
15,Accuen NO w/ DBM,0.07182005552875129,103
16,Accuen OMD NZ w/ DBM,0.6638049176834437,363
17,Accuen PHD NZ w/ DBM,0.5006508718295025,385
18,Accuen (PL) w/DBM,0.0025701961363956438,8
19,Accuen (TR) w/DBM,0.00035249812740208793,8
20,Accuen UK w/Amazon,0.9050902967271514,1797
21,Accuen UK w/ The Trade Desk,1.679955131413039,1772
22,Accuen US w/Amazon,0.022204917004461595,10
23,Accuen w/ Invite Media,2.349426312701529,1323
24,Accuen w/ The Trade Desk,0.00362193880090537,3
25,Accuen w/ Verizon Media DSP,0.4344740730350113,190
26,Active Agent,0.3734713551455338,688
27,Acuity Ads,0.24055984093998714,321
28,Acuity Ads w/ DBM,0.005948919446133139,5
29,Adara DBM Adx,1.6523288096426123,3786
30,Adara Media,2.1067909233470483,2849
31,Addictive Mobility,0.04576641771134941,25
32,Ad Effectiveness Surveys 2,0.7019864631009735,1231
33,Adelement - INR,0.06357044900400312,201
34,Adello Group AG,0.047815672559230075,151
35,Adelphic Mobile,0.09032004466268603,27
36,Adelphic_US_Publicis,0.0008479675232609667,1
37,Adform,0.0021314222435454924,3
38,Adform Group 1,0.2725015943307302,458
39,Adform Group 3,1.5260087639172977,2683
40,Adhesive- LLC,0.005225846364282703,2
41,Adhood TR,0.1754742251599247,814
42,Adikteev,0.744333073804753,122
43,Adizio w/ Iponweb (BS),0.10586611592247043,63
44,Admatic w/DBM (AU),0.8891120249661699,865
45,AdMaxim EMEA,0.735510760532221,1172
46,Adobe APAC,0.18210759901194581,220
47,Adobe EU,0.3006028436480994,393
48,Adobe NA,3.3770438081701064,1620
49,AdPilot (PL) / Cloud Technologies,0.00025307557864765286,1
50,AdPrime w/ Beeswax,0.0030763472936909493,3
51,AdReady,0.0547423840137746,12
52,AdRiver,0.008223312958135422,39
53,AdRoll.com 3,3.9279950946037436,4877
54,AdSniper.ru,0.008505147125265764,23
55,Adspend,0.0008906945690066744,5
56,AdSwerve // DBM,3.291667775704573,2915
57,AdTaily w/ DBM,0.19859695197396235,111
58,Adtegrity BPN AdX Account,0.06591304145440721,68
59,advanced STORE,0.008262753308054538,71
60,advanced STORE w/Adform,0.14823080345329617,2271
61,advanced STORE w/ DBM,0.14753648895992844,532
62,Advance Media,0.20237993887037078,122
63,Adxcel,0.0022020862038172394,23
64,adXoptdcom w/ DBM,0.018213224923064524,71
65,Adxperience 281945923,0.0011306233643479555,1
66,Aegis Media Network UK w/DBM,18.36015172994862,17020
67,Aegis Media Network w/ Invite Media,1.00257533829181,311
