,advertiser,devicecategory,count
0,,Connected TV,554
1,,Desktop,648632
2,,Smartphone,2308568
3,,Tablet,514522
4,렌딧,Desktop,142
5,렌딧,Tablet,4
6,세스코,Smartphone,3
7,세스코,Tablet,2
8,야놀자,Smartphone,3
9,에듀윌,Desktop,3
10,에듀윌,Smartphone,1
11,칸투칸,Desktop,55
12,칸투칸,Smartphone,9
13,칸투칸,Tablet,2
14,파고다 교육그룹,Smartphone,3
15,내일투어,Desktop,2
16,랭킹닭컴,Desktop,13
17,아이비젼,Desktop,3
18,아이소이,Desktop,1
19,주식회사 퀄슨,Desktop,3
20,주식회사 심야모임,Smartphone,1
21,주식회사 마크마운트,Desktop,3
22,ヴィエリス,Smartphone,1
23,대성마이맥,Desktop,1
24,박문각그룹,Desktop,2
25,배달의민족,Smartphone,6
26,서울문화사,Smartphone,1
27,에코마케팅,Desktop,1
28,오늘안치과,Smartphone,2
29,エコスタイル,Desktop,3
30,한성아카데미,Tablet,1
31,บริษัท เลนโซ่ วีล จำกัด,Desktop,27
32,บริษัท เลนโซ่ วีล จำกัด,Smartphone,39
33,บริษัท เลนโซ่ วีล จำกัด,Tablet,12
34,บริษัท นารายณ์พร็อพเพอตี้ จำกัด,Desktop,2
35,บริษัท นารายณ์พร็อพเพอตี้ จำกัด,Smartphone,7
36,セキスイハイム,Desktop,1
37,セキスイハイム,Smartphone,2
38,ベンチャーバンク,Desktop,2
39,레진엔터테인먼트,Desktop,1
40,레진엔터테인먼트,Tablet,3
41,서울게임아카데미,Desktop,2
42,서울게임아카데미,Smartphone,3
43,아이에스이커머스,Smartphone,1
44,이지드림대부중개,Smartphone,2
45,1000Bulbs.com,Desktop,6
46,1000Bulbs.com,Smartphone,66
47,1000Bulbs.com,Tablet,1
48,1001 Optical,Smartphone,36
49,1001 Optical,Tablet,19
50,1001salles,Desktop,1
51,1-2-3.fr,Desktop,4
52,1-2-3.fr,Smartphone,1
53,1-2-3.fr,Tablet,2
54,123Inkjets,Desktop,1
55,123RF,Desktop,493
56,12Pay Ltd,Desktop,15
57,12Pay Ltd,Smartphone,1
58,12wbt,Desktop,86
59,12wbt,Smartphone,782
60,12wbt,Tablet,393
61,17 Media,Smartphone,8
62,1-800 CONTACTS,Desktop,7
63,1-800 CONTACTS,Smartphone,16
64,1-800-Flowers.com,Desktop,6
65,1-800-Flowers.com,Smartphone,44
66,1-800-Flowers.com,Tablet,2
67,1A Auto,Desktop,1
68,1A Auto,Smartphone,4
69,1C Company,Desktop,1
70,1C Company,Smartphone,2
71,1stdibs.com,Connected TV,4
72,1stdibs.com,Desktop,551
73,1stdibs.com,Smartphone,386
74,1stdibs.com,Tablet,166
75,1st In Coffee,Desktop,3
76,1st In Coffee,Smartphone,1
77,1st In Coffee,Tablet,2
78,บริษัท เกรียงกมล2009 จำกัด (สาขา 1),Desktop,1
79,21broadhotel.com,Smartphone,2
80,21sportsgroup,Desktop,5
81,21sportsgroup,Smartphone,6
82,21sportsgroup,Tablet,2
83,21st Century Fox,Connected TV,1
84,21st Century Fox,Desktop,1482
85,21st Century Fox,Smartphone,209
86,21st Century Fox,Tablet,422
87,220 Volt,Desktop,1
88,23andMe,Desktop,20
89,23andMe,Smartphone,100
90,23andMe,Tablet,5
91,247 Home Furnishings,Desktop,4
92,247 Home Furnishings,Smartphone,2
93,288 Group,Connected TV,4
94,288 Group,Desktop,4539
95,288 Group,Smartphone,1720
96,288 Group,Tablet,1075
97,2U,Desktop,80
98,2U,Smartphone,216
99,2U,Tablet,7
100,2XU,Desktop,37
101,2XU,Smartphone,14
102,2XU,Tablet,1
103,310 Nutrition,Smartphone,1
104,360imprimir Portugal,Desktop,11
105,3CX,Desktop,6
106,3CX,Smartphone,34
107,3CX,Tablet,33635
108,3 Day Blinds,Smartphone,13
109,3 Day Blinds,Tablet,2
110,3M,Desktop,4078
111,3M,Smartphone,1759
112,3M,Tablet,552
113,4Cabling,Desktop,15
114,4finance Group,Desktop,55
115,4finance Group,Smartphone,67
116,4finance Group,Tablet,8
117,4home,Desktop,3
118,4home,Smartphone,3
119,4seating.com,Desktop,37
120,4seating.com,Smartphone,13
121,4seating.com,Tablet,5
122,4WD Supacentre,Desktop,132
123,4WD Supacentre,Smartphone,410
124,4WD Supacentre,Tablet,6
125,5.10.15,Smartphone,2
126,6DollarShirts.com,Smartphone,9
127,6DollarShirts.com,Tablet,1
128,7th Road Technology,Smartphone,7
129,8x8,Desktop,14
130,8x8,Smartphone,142
131,8x8,Tablet,25
132,A101 Yeni Magazacilik,Smartphone,5
133,A101 Yeni Magazacilik,Tablet,1
134,A1 Comms,Desktop,5
135,A1 Comms,Smartphone,943
136,A1 Comms,Tablet,9
137,A1 Sports,Desktop,13
138,A1 Sports,Smartphone,18
139,A1 Sports,Tablet,1
140,AAA,Desktop,38
141,AAA,Smartphone,226
142,AAA,Tablet,10
143,AAA Auto,Desktop,6
144,AAA Auto,Smartphone,4
145,Aaa Internet Publishing,Desktop,3
146,AA Group,Connected TV,1
147,AA Group,Desktop,70
148,AA Group,Smartphone,2452
149,AA Group,Tablet,335
150,Aakash Institute,Smartphone,5
151,AAPC,Smartphone,16
152,AAPC,Tablet,1
153,Aarons Home Appliance,Smartphone,8
154,AARP,Desktop,12
155,AARP,Smartphone,314
156,AARP,Tablet,10
157,Abbey Financial Solutions,Desktop,224
158,Abbey Financial Solutions,Smartphone,31
159,Abbey Financial Solutions,Tablet,52
160,ABB Group,Smartphone,1
161,Abbott Laboratories,Connected TV,2
162,Abbott Laboratories,Desktop,6566
163,Abbott Laboratories,Smartphone,1713
164,Abbott Laboratories,Tablet,1288
165,AbbVie,Smartphone,56
166,AbbVie,Tablet,5
167,Abcam,Desktop,6
168,Abcam,Tablet,3
169,ABC LIV,Desktop,2
170,ABC LIV,Smartphone,1
171,ABC Mart,Desktop,1
172,ABC Mart,Smartphone,10
173,ABC Pneus,Tablet,1
174,ABC Warehouse,Desktop,2
175,ABC Warehouse,Smartphone,1
176,Abercrombie & Fitch,Desktop,26
177,Abercrombie & Fitch,Smartphone,7788
178,Abercrombie & Fitch,Tablet,235
179,Aberdeen Asset Management,Smartphone,92
180,Aberdeen Asset Management,Tablet,1
181,AbhiBus Services India,Desktop,1
182,Abnamro,Desktop,2
183,Abnamro,Smartphone,5
184,ABN Amro,Desktop,10
185,ABN Amro,Smartphone,64
186,ABN Amro,Tablet,4
187,AboutBatteries.com,Desktop,1
188,AboutBatteries.com,Smartphone,1
189,AboutBatteries.com,Tablet,1
190,Abris Tempo,Desktop,9
191,Abris Tempo,Smartphone,11
192,Abris Tempo,Tablet,4
193,Abrisud,Desktop,10
194,Abrisud,Smartphone,2
195,Abrisud,Tablet,5
196,ABRT Venture Fund,Desktop,384
197,ABRT Venture Fund,Smartphone,75
198,ABRT Venture Fund,Tablet,189
199,Abt Electronics,Smartphone,1
200,Abu Dhabi Tourism & Culture Authority,Desktop,14
201,Abu Dhabi Tourism & Culture Authority,Smartphone,26
202,Abu Dhabi Tourism & Culture Authority,Tablet,2
203,Academic Partnerships,Smartphone,4
204,Academic Partnerships,Tablet,1
205,Academy of Art University,Desktop,11
206,Academy of Art University,Smartphone,13
207,Academy of Art University,Tablet,1
208,Acadia Healthcare Company,Desktop,2
209,Acadia Healthcare Company,Smartphone,4
210,Accenture,Desktop,159
211,Accenture,Smartphone,155
212,Accenture,Tablet,40
213,Access Industries,Desktop,92
214,Access Industries,Smartphone,190
215,Access Industries,Tablet,15
216,Access Intelligence,Smartphone,4
217,Access Intelligence,Tablet,2
218,Accessory Geeks,Desktop,17
219,Accessory Geeks,Smartphone,23
220,Access USA Shipping,Desktop,75
221,Access USA Shipping,Smartphone,12
222,Access USA Shipping,Tablet,8
223,ACCO Brands,Desktop,24
224,ACCO Brands,Smartphone,124
225,ACCO Brands,Tablet,34
226,Accor Group,Desktop,2884
227,Accor Group,Smartphone,2038
228,Accor Group,Tablet,607
229,Accountor,Desktop,2
230,Accountor,Smartphone,1
231,AccuQuote Life Insurance,Smartphone,1
232,ACE Cash Express,Smartphone,9
233,ACE Engineering Academy,Desktop,4
234,ACE Engineering Academy,Smartphone,11
235,Ace Hardware,Desktop,5
